th,diffh1,xdiffh1,tdiffh1,diffh2,xdiffh2,tdiffh2,diffh3,xdiffh3,tdiffh3,diffh4,xdiffh4,tdiffh4,diffh5,xdiffh5,tdiffh5,ta,diffa1,xdiffa1,tdiffa1,diffa2,xdiffa2,tdiffa2,diffa3,xdiffa3,tdiffa3,diffa4,xdiffa4,tdiffa4,diffa5,xdiffa5,tdiffa5,hs,as
18,-3,-1.2999999999999998,-1,3,2.6999999999999993,-12,-4,-6.8999999999999995,-6,0,-4.300000000000001,-11,-2,-2.500000000000001,-3,1,2,-1.0000000000000009,3,1,0.7999999999999994,15,-2,1.1999999999999993,6,2,4.300000000000001,15,1,1.6000000000000005,2,2,1
15,-1,-0.7999999999999998,-3,0,0.5000000000000004,-12,0,-1.5,-9,0,-1.9000000000000004,-9,0,0.8999999999999995,1,17,-3,-2.5999999999999996,-9,-4,-4.000000000000001,2,-1,2.2,-3,-1,-7.999999999999999,-7,2,2.500000000000001,3,2,1
11,-2,-5.7,-6,-2,0.3000000000000007,7,1,-2.5000000000000004,-3,4,-0.09999999999999964,-4,0,-0.8999999999999995,8,13,1,0.7000000000000002,2,-1,-0.7999999999999998,-3,0,0.5000000000000004,-12,0,-1.5,-9,0,-1.9000000000000004,-9,1,0
2,2,4.699999999999999,2,5,4.8,-1,0,-2.5999999999999996,1,4,4.700000000000001,10,-1,5.100000000000001,10,6,5,3.5999999999999996,-4,2,-0.3000000000000007,-7,0,0.0,-1,-1,1.0999999999999996,-5,0,1.9000000000000004,9,6,2
8,0,4.0,2,1,0.7999999999999998,3,0,-0.0,1,4,6.8999999999999995,6,-3,-4.300000000000002,-2,15,0,1.4,-3,-4,-7.5,-7,4,4.000000000000001,-2,-4,-4.700000000000001,-10,0,0.8999999999999995,-8,2,0
16,-5,-6.6,-6,3,1.2999999999999998,1,-1,-0.7999999999999994,-15,-1,-1.9000000000000004,1,-2,-0.5,-3,12,0,-4.0,-2,-1,-2.8999999999999995,-1,0,2.4000000000000004,3,1,-2.2,3,1,-5.100000000000001,-10,2,1
14,0,-1.4,3,0,1.2000000000000002,-7,0,-2.4000000000000004,-3,1,1.9000000000000004,-1,-2,-4.300000000000001,-15,17,1,-0.20000000000000018,-17,-3,-1.2999999999999998,-1,3,2.6999999999999993,-12,-4,-6.8999999999999995,-6,0,-4.300000000000001,-11,4,0
4,2,1.9000000000000008,1,4,7.5,7,-3,-2.6999999999999993,12,2,-1.1999999999999993,-6,2,0.5,3,5,5,6.6,6,-2,1.0000000000000009,-3,0,2.5999999999999996,-1,-1,0.5,7,1,7.999999999999999,7,1,2
1,-1,0.20000000000000018,17,2,-1.0000000000000009,3,1,0.7999999999999994,15,-2,1.1999999999999993,6,2,4.300000000000001,15,9,-2,-1.9000000000000008,-1,0,-1.2000000000000002,7,3,3.4,-2,-4,0.09999999999999964,4,3,4.300000000000002,2,2,1
18,-1,-0.7000000000000002,-2,-3,-2.5999999999999996,-9,-4,-4.000000000000001,2,-1,2.2,-3,-1,-7.999999999999999,-7,3,2,5.7,6,-5,-4.8,1,0,-0.5000000000000004,12,1,-1.0999999999999996,5,0,0.5,2,0,2
10,-5,-3.5999999999999996,4,1,2.8999999999999995,1,-3,-3.4,2,1,-0.5,-7,0,4.300000000000001,11,7,-2,-4.699999999999999,-2,3,2.5999999999999996,9,-1,2.5000000000000004,3,0,1.5,9,0,-0.5,-2,1,1
